,file,artist,genre,style
0,Realism/vincent-van-gogh_pine-trees-in-the-fen-1884.jpg,22,4,12
1,Baroque/rembrandt_the-angel-appearing-to-the-shepherds-1634.jpg,20,7,3
2,Post_Impressionism/paul-cezanne_portrait-of-the-artist-s-son.jpg,16,6,11
3,Impressionism/pierre-auguste-renoir_young-girl-seated-in-a-meadow-1916.jpg,17,2,7
4,Art_Nouveau_Modern/boris-kustodiev_meeting-easter-day-1917.jpg,1,2,2
5,Romanticism/ivan-aivazovsky_night-in-the-ukraine-1871.jpg,9,4,13
6,Northern_Renaissance/albrecht-durer_deposition-engraved-passion-1512.jpg,0,7,9
7,Realism/john-singer-sargent_leon-delafosse.jpg,11,6,12
8,Romanticism/ivan-aivazovsky_rush-on-dnepr-near-aleshki-1857.jpg,9,4,13
9,Symbolism/nicholas-roerich_patrol-1905.jpg,14,2,14
10,Symbolism/nicholas-roerich_remember-1945.jpg,14,4,14
11,Realism/boris-kustodiev_portrait-of-the-painter-ivan-bilibin-1901.jpg,1,6,12
12,Impressionism/pierre-auguste-renoir_young-woman-with-crane-1886.jpg,17,6,7
13,Naive_Art_Primitivism/marc-chagall_still-life-with-bouquet-1962.jpg,12,9,8
14,Realism/vincent-van-gogh_peasant-woman-with-shawl-over-her-head-seen-from-the-side-1885.jpg,22,8,12
15,Romanticism/gustave-dore_the-sculptures.jpg,7,3,13
16,Romanticism/ivan-aivazovsky_lunar-night-at-the-spring-1877.jpg,9,4,13
17,Romanticism/gustave-dore_farinata.jpg,7,3,13
18,Baroque/rembrandt_sick-woman-with-a-large-white-headdress-saskia.jpg,20,8,3
19,Realism/pyotr-konchalovsky_in-the-woods-1945.jpg,18,4,12
20,Impressionism/pierre-auguste-renoir_houses-in-cagnes-1908.jpg,17,1,7
21,Expressionism/martiros-saryan_in-the-garden-1928.jpg,13,8,5
22,Baroque/rembrandt_portrait-of-margeretha-de-geer-1661.jpg,20,6,3
23,Impressionism/claude-monet_dolceacqua-bridge.jpg,4,1,7
24,Symbolism/nicholas-roerich_tibet-1929.jpg,14,4,14
25,Realism/ivan-shishkin_deciduous-forest-1873.jpg,10,8,12
26,Realism/vincent-van-gogh_seated-male-nude-seen-from-the-back.jpg,22,5,12
27,Realism/vincent-van-gogh_portrait-of-a-woman-1885.jpg,22,6,12
28,Northern_Renaissance/albrecht-durer_apostle-bartholomew.jpg,0,7,9
29,Post_Impressionism/paul-cezanne_still-life-with-basket.jpg,16,9,11
30,Expressionism/pablo-picasso_head-of-dead-woman-1902.jpg,15,6,5
31,Romanticism/ivan-aivazovsky_sea-view-1867.jpg,9,4,13
32,Naive_Art_Primitivism/marc-chagall_king-david-s-tower-1971.jpg,12,7,8
33,Art_Nouveau_Modern/raphael-kirchner_deadly-sins-2.jpg,19,5,2
34,Baroque/rembrandt_portrait-of-clement-de-jonge-1651.jpg,20,6,3
35,Impressionism/pierre-auguste-renoir_still-life-with-bouquet-1871.jpg,17,9,7
36,Realism/ilya-repin_portrait-of-a-kalmyk-1871.jpg,8,6,12
37,Symbolism/nicholas-roerich_procopius-the-righteous-removes-a-cloud-of-stone-from-the-great-ustyug-1913.jpg,14,8,14
38,Impressionism/eugene-boudin_deauville-the-beach-low-tide.jpg,6,4,7
39,Impressionism/pierre-auguste-renoir_still-life-with-strawberries-2.jpg,17,9,7
40,Expressionism/salvador-dali_satirical-composition-the-dance-by-matisse.jpg,21,2,5
41,Northern_Renaissance/albrecht-durer_laughing-peasant-woman-1505.jpg,0,6,9
42,Post_Impressionism/paul-cezanne_house-behind-trees-on-the-road-to-tholonet-1887.jpg,16,4,11
43,Realism/vincent-van-gogh_peasant-woman-with-shawl-over-her-head-seen-from-the-side-2-1885.jpg,22,8,12
44,Post_Impressionism/pablo-picasso_the-good-derain-1910.jpg,15,2,11
45,Post_Impressionism/paul-cezanne_seated-woman-1895.jpg,16,6,11
46,Art_Nouveau_Modern/raphael-kirchner_milkmaid.jpg,19,2,2
47,Realism/vincent-van-gogh_garbage-dump-1883(1).jpg,22,8,12
48,Post_Impressionism/paul-cezanne_in-the-woods-1885.jpg,16,4,11
49,Baroque/rembrandt_portrait-of-joris-de-caullery-1632.jpg,20,6,3
50,Realism/boris-kustodiev_venice-1907.jpg,1,1,12
51,Impressionism/paul-cezanne_the-orchard-1877.jpg,16,4,7
52,Realism/boris-kustodiev_portrait-of-a-lady-model-1908.jpg,1,5,12
53,Symbolism/nicholas-roerich_lahaul-1932-1.jpg,14,4,14
54,Northern_Renaissance/albrecht-durer_portrait-of-a-woman.jpg,0,6,9
55,Northern_Renaissance/albrecht-durer_the-penitent-1510.jpg,0,2,9
56,Romanticism/gustave-dore_invocation-to-muhammad.jpg,7,3,13
57,Realism/john-singer-sargent_a-game-of-bowls-ightham-mote-kent-1889.jpg,11,2,12
58,Romanticism/gustave-dore_godfrey-enters-jerusalem-1877.jpg,7,3,13
59,Impressionism/pierre-auguste-renoir_lydia-sieligmann-1917.jpg,17,6,7
60,Naive_Art_Primitivism/marc-chagall_lovers-near-bridge-1948.jpg,12,2,8
61,Realism/ilya-repin_job-and-his-friends-1869.jpg,8,7,12
62,Northern_Renaissance/albrecht-durer_portrait-of-african-woman-catherine.jpg,0,6,9
63,Impressionism/claude-monet_sunset-on-the-seine-at-lavacourt-winter-effect.jpg,4,4,7
64,Realism/vincent-van-gogh_sower-1882-3.jpg,22,2,12
65,Symbolism/salvador-dali_tertia-die-resurrexit-1967.jpg,21,7,14
66,Impressionism/edgar-degas_achille-de-gas-1872.jpg,5,6,7
67,Impressionism/pierre-auguste-renoir_eugene-murer-1877.jpg,17,6,7
68,Impressionism/childe-hassam_november-cos-cob.jpg,3,1,7
69,Impressionism/paul-cezanne_landscape-in-provence-1875.jpg,16,4,7
70,Impressionism/claude-monet_rain-in-belle-ile.jpg,4,4,7
71,Impressionism/camille-pissarro_the-tuileries-gardens-2-1900.jpg,2,1,7
72,Post_Impressionism/vincent-van-gogh_the-house-of-pere-pilon-1890.jpg,22,4,11
73,Impressionism/claude-monet_the-pink-skiff-boating-on-the-ept.jpg,4,2,7
74,Romanticism/gustave-dore_the-inferno-canto-5-1.jpg,7,3,13
75,Symbolism/nicholas-roerich_himalayas-chain-of-kanchenjunga-1936.jpg,14,4,14
76,Impressionism/claude-monet_zaandam.jpg,4,1,7
77,Impressionism/john-singer-sargent_base-of-a-palace-1904.jpg,11,1,7
78,Post_Impressionism/pyotr-konchalovsky_at-the-ilmen-lake-1928.jpg,18,2,11
79,Art_Nouveau_Modern/boris-kustodiev_view-from-the-window-1926.jpg,1,1,2
80,Impressionism/pierre-auguste-renoir_woman-at-the-chest-1919.jpg,17,5,7
81,Impressionism/paul-cezanne_the-harvesters-1878.jpg,16,2,7
82,Impressionism/edgar-degas_landscape-cows-in-the-foreground.jpg,5,4,7
83,Realism/ilya-repin_portrait-of-the-artist-vasily-surikov-1885.jpg,8,6,12
84,Impressionism/edgar-degas_houses-by-the-seaside-1869.jpg,5,4,7
85,Symbolism/nicholas-roerich_sharugon-monastery-1928.jpg,14,4,14
86,Impressionism/pablo-picasso_flower-seller-1901.jpg,15,2,7
87,Impressionism/camille-pissarro_chestnut-trees-at-louveciennes-1872.jpg,2,4,7
